Serial No,Age,Gender,University,Department,Enrolled Program,T Number,S Number,B Number,Study Year,online Exam,Ofline Number,TSR,TOS,PCC1,DCC1,ACC1,PCC2,DCC2,ACC2,PCC3,DCC3,ACC3,PCC4,DCC4,ACC4,PCC5,DCC5,ACC5,PCC6,DCC6,ACC6,PCC7,DCC7,ACC7,PCC8,DCC8,ACC8,PTEA1,DTEA1,ATEA1,PTEA2,DTEA2,ATEA2,PTEA3,DTEA3,ATEA3,PTEA4,DTEA4,ATEA4,PIS1,DIS1,AIS1,PIS2,DIS2,AIS2,PIS3,DIS3,AIS3,PIS4,DIS4,AIS4,PIS5,DIS5,AIS5,PIS6,DIS6,AIS6,PARA1,DARA1,AARA1,PARA2,DARA2,AARA2,PARA3,DARA3,AARA3,CGPA
1,22,2,RU,Social Work,1,17,90,5,3,0,2,5,4,4,2,4,3,2,4,4,4,4,4,4,4,3,3,3,4,4,4,4,2,3,4,2,3,4,1,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,3,5,5,4,5,5,5,5,5,5,5,5,4,5,4,2,3,5,1,4,3.27
2,22,2,RU,Social Work,1,17,102,5,3,0,2,5,4,5,2,5,5,5,5,5,3,5,4,2,4,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,4,4,4,3,5,3,4,5,4,4,4,4,5,5,4,5,5,5,3,3,3,3.37
3,21,2,RU,Social Work,1,19,100,5,3,0,2,5,5,5,4,5,5,4,5,5,3,5,5,5,5,5,4,5,5,3,5,5,4,5,5,5,5,5,2,5,5,4,5,3,2,3,5,5,5,5,5,5,5,4,5,5,5,5,2,3,2,4,4,5,5,5,5,5,5,5,5,4,5,5,1,5,3.1
4,21,2,RU,Social Work,1,19,110,5,3,0,2,3,2,5,1,3,5,1,1,5,1,4,5,1,5,5,1,1,5,1,3,5,1,2,5,1,5,5,1,5,5,1,5,5,1,5,5,5,5,5,5,5,4,1,3,2,1,2,2,1,2,3,1,3,4,1,5,3,1,3,2,1,2,1,1,1,3.05
5,23,1,RU,Social Work,1,18,100,5,3,0,2,3,2,4,1,4,4,4,4,4,1,4,4,2,4,3,1,3,3,1,3,4,1,2,3,1,3,4,1,4,4,1,3,2,1,2,2,1,2,4,1,4,3,1,3,2,1,2,1,1,1,2,1,2,2,1,2,1,1,3,3,1,3,1,1,1,3.45
6,22,2,RU,Social Work,1,19,110,5,3,0,1,5,4,5,2,4,5,2,3,5,3,5,5,3,4,5,4,5,5,4,4,5,1,5,5,1,5,5,1,3,4,1,4,5,1,5,5,5,5,5,4,5,1,1,4,4,1,5,5,1,4,4,4,3,5,1,2,3,1,4,4,1,2,2,1,4,3
7,22,2,RU,Social Work,1,20,100,5,3,0,1,5,5,5,2,5,5,1,5,5,2,5,5,2,5,5,2,5,5,3,5,5,3,5,5,4,5,5,1,5,5,4,5,5,2,5,5,2,5,4,2,3,5,1,5,5,2,5,5,2,5,5,2,5,5,2,5,5,2,5,5,5,5,5,5,5,3.7
8,24,2,RU,Social Work,1,19,105,5,3,0,2,4,3,5,3,5,5,2,4,5,3,5,4,4,4,5,3,5,5,5,5,3,3,2,4,3,2,4,1,4,4,2,5,4,2,4,5,5,5,5,4,5,4,4,4,3,3,3,4,3,4,4,4,4,4,4,4,4,3,4,3,3,3,3,3,4,2.81
10,24,2,RU,Social Work,1,19,100,5,3,0,2,4,4,5,3,5,5,3,5,5,3,5,5,3,5,5,4,5,4,4,4,5,3,5,5,3,5,5,3,5,5,4,5,4,3,4,5,5,5,5,4,5,4,2,4,5,4,5,4,2,4,4,2,4,5,2,5,5,3,5,5,4,5,3,2,3,3.16
11,22,2,RU,Social Work,1,19,100,5,3,0,2,5,4,5,3,5,4,3,4,5,3,5,5,5,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,2,3,4,3,4,4,3,4,3,3,3,2,2,2,2,2,2,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3.25
